Title,Genre,Console,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales
SCOOP! Around the World in 80 Spaces,Education,WiiU,N/A,N/A,N/A,N/A,N/A
Naruto: Clash of Ninja Revolution 2,Fighting,Wii,0.38m,0.34m,0.02m,N/A,0.03m
Rune Factory: Frontier,Role-Playing,Wii,0.37m,0.16m,0.13m,0.04m,0.03m
Among Us VR,Party,PS4,N/A,N/A,N/A,N/A,N/A
Among Us VR,Party,PC,N/A,N/A,N/A,N/A,N/A
The Amazing Spider-Man (2012),Action-Adventure,PS3,0.80m,0.31m,0.36m,N/A,0.12m
The Amazing Spider-Man (2012),Action-Adventure,X360,0.74m,0.43m,0.24m,N/A,0.07m
The Amazing Spider-Man (2012),Action-Adventure,Wii,0.16m,0.10m,0.04m,N/A,0.01m
The Amazing Spider-Man (2012),Action-Adventure,WiiU,0.09m,0.05m,0.04m,N/A,0.01m
The Amazing Spider-Man (2012),Action-Adventure,PC,0.00m,0.00m,N/A,N/A,0.00m
Bless Unleashed,MMO,PC,N/A,N/A,N/A,N/A,N/A
Bless Unleashed,MMO,PS4,N/A,N/A,N/A,N/A,N/A
Bless Unleashed,MMO,XOne,N/A,N/A,N/A,N/A,N/A
Dragon Quest Monsters: Battle Road Victory,Strategy,Wii,0.32m,N/A,N/A,0.32m,N/A
Marvel Pinball: Epic Collection Volume 1,Puzzle,XOne,0.05m,0.04m,N/A,N/A,0.01m
Marvel Pinball: Epic Collection Volume 1,Puzzle,PS4,0.04m,0.03m,N/A,N/A,0.01m
Dynasty Warriors 8: Empires,Misc,PS4,0.21m,0.07m,0.07m,0.04m,0.03m
Dynasty Warriors 8: Empires,Action,X360,0.15m,0.09m,0.05m,N/A,0.01m
Dynasty Warriors 8: Empires,Misc,PS3,0.09m,N/A,N/A,0.09m,N/A
Dynasty Warriors 8: Empires,Action,XOne,0.07m,0.04m,0.02m,N/A,0.01m
Dynasty Warriors 8: Empires,Action,NS,0.00m,N/A,N/A,0.00m,N/A
Dynasty Warriors 8: Empires,Action,PC,N/A,N/A,N/A,N/A,N/A
Dark Souls,Role-Playing,PS3,2.05m,0.75m,0.53m,0.54m,0.22m
Dark Souls,Role-Playing,X360,0.99m,0.64m,0.27m,N/A,0.09m
Aokana: Four Rhythm Across the Blue,Visual Novel,PS4,0.03m,N/A,N/A,0.03m,N/A
Aokana: Four Rhythm Across the Blue,Visual Novel,NS,0.00m,N/A,N/A,0.00m,N/A
Aokana: Four Rhythm Across the Blue,Visual Novel,NS,N/A,N/A,N/A,N/A,N/A
Aokana: Four Rhythm Across the Blue,Visual Novel,PC,N/A,N/A,N/A,N/A,N/A
Aokana: Four Rhythm Across the Blue,Visual Novel,PS4,N/A,N/A,N/A,N/A,N/A
Demon's Souls,Role-Playing,PS3,1.83m,0.97m,0.34m,0.35m,0.17m
Ace Combat 6: Fires of Liberation,Simulation,X360,1.01m,0.69m,0.04m,0.22m,0.07m
Fight Night Round 2,Fighting,PS2,0.87m,0.72m,0.03m,N/A,0.12m
Driveclub,Racing,PS4,2.37m,0.37m,1.63m,0.02m,0.36m
Final Fantasy XIII,Role-Playing,PS3,5.35m,1.75m,1.23m,1.87m,0.51m
Final Fantasy XIII,Role-Playing,X360,2.19m,1.30m,0.67m,0.01m,0.21m
Final Fantasy XIII,Role-Playing,PC,N/A,N/A,N/A,N/A,N/A
Super Mario Galaxy,Platform,Wii,11.40m,6.06m,3.38m,1.20m,0.76m
WarioWare: Smooth Moves,Puzzle,Wii,2.89m,0.86m,1.05m,0.73m,0.26m
Cars 3: Driven to Win,Racing,NS,0.32m,0.13m,0.14m,0.02m,0.02m
Cars 3: Driven to Win,Racing,PS4,0.29m,0.06m,0.18m,0.01m,0.04m
Cars 3: Driven to Win,Racing,XOne,0.05m,0.04m,N/A,N/A,0.01m
Cars 3: Driven to Win,Racing,WiiU,0.02m,0.02m,0.00m,N/A,0.00m
Cars 3: Driven to Win,Racing,X360,0.02m,0.02m,N/A,N/A,0.00m
Cars 3: Driven to Win,Racing,PS3,0.01m,0.01m,N/A,N/A,0.00m
XCOM 2,Strategy,PC,0.31m,0.12m,0.16m,N/A,0.02m
XCOM 2,Strategy,PS4,0.31m,0.16m,0.10m,N/A,0.05m
XCOM 2,Strategy,XOne,0.19m,0.15m,0.02m,N/A,0.02m
LEGO Star Wars II: The Original Trilogy,Action,PS2,2.69m,1.85m,0.64m,0.01m,0.19m
LEGO Star Wars II: The Original Trilogy,Action,X360,0.63m,0.55m,0.03m,N/A,0.05m
LEGO Star Wars II: The Original Trilogy,Action,PC,0.02m,N/A,0.01m,N/A,0.00m
FIFA Soccer 11,Sports,PS3,5.08m,0.61m,3.28m,0.06m,1.12m
FIFA Soccer 11,Sports,X360,3.52m,0.71m,2.39m,0.02m,0.40m
FIFA Soccer 11,Sports,Wii,1.08m,0.26m,0.69m,N/A,0.12m
FIFA Soccer 11,Sports,PS2,0.76m,0.11m,0.29m,N/A,0.36m
FIFA Soccer 11,Sports,PC,0.18m,N/A,0.15m,N/A,0.03m
Steins;Gate,Visual Novel,PS3,0.06m,0.01m,0.02m,0.02m,0.01m
Steins;Gate,Visual Novel,X360,0.06m,N/A,N/A,0.06m,N/A
Steins;Gate,Visual Novel,PC,N/A,N/A,N/A,N/A,N/A
Deus Ex: Human Revolution,Shooter,X360,1.38m,0.77m,0.47m,0.02m,0.12m
Deus Ex: Human Revolution,Shooter,PS3,1.38m,0.50m,0.60m,0.07m,0.22m
Deus Ex: Human Revolution,Shooter,PC,0.58m,0.25m,0.26m,N/A,0.08m
Deus Ex: Human Revolution,Shooter,WiiU,0.11m,0.05m,0.05m,N/A,0.01m
ESPN: Sports Connection,Sports,WiiU,0.36m,0.20m,0.13m,N/A,0.03m
Super Robot Wars X,Strategy,PS4,0.13m,N/A,N/A,0.13m,N/A
Rare Replay,Misc,XOne,0.78m,0.42m,0.27m,0.01m,0.07m
White Album 2: Shiawase no Mukougawa,Visual Novel,PS3,0.04m,N/A,N/A,0.04m,N/A
Batman: Arkham Origins,Action-Adventure,PS3,2.40m,1.08m,0.88m,0.04m,0.40m
Batman: Arkham Origins,Action-Adventure,X360,1.90m,1.15m,0.58m,0.00m,0.17m
Batman: Arkham Origins,Action-Adventure,PC,0.32m,0.13m,0.17m,N/A,0.03m
Batman: Arkham Origins,Action-Adventure,WiiU,0.32m,0.19m,0.10m,0.00m,0.03m
